Panel,Channel,Device Name,Calibration Slope,Calibration Intercept,Channel Name,Group Name,Measurement Type
SC1Mod9,10,TC_A3_3,1,0,TC 3 0.61 m BC West,TC A3,Temperature
SC1Mod9,11,TC_A3_4,1,0,TC 3 0.91 m BC West,TC A3,Temperature
SC1Mod9,12,TC_A3_5,1,0,TC 3 1.22 m BC West,TC A3,Temperature
SC1Mod9,13,TC_A3_6,1,0,TC 3 1.52 m BC West,TC A3,Temperature
SC1Mod9,14,TC_A3_7,1,0,TC 3 1.83 m BC West,TC A3,Temperature
SC1Mod9,15,TC_A3_8,1,0,TC 3 2.13 m BC West,TC A3,Temperature
SC1Mod9,16,TC_A7_1,1,0,TC 7 0.03 m BC West,TC A7,Temperature
SC1Mod9,17,TC_A7_2,1,0,TC 7 0.30 m BC West,TC A7,Temperature
SC1Mod9,18,TC_A7_3,1,0,TC 7 0.61 m BC West,TC A7,Temperature
SC1Mod9,19,TC_A7_4,1,0,TC 7 0.91 m BC West,TC A7,Temperature
SC1Mod9,20,TC_A7_5,1,0,TC 7 1.22 m BC West,TC A7,Temperature
SC1Mod9,21,TC_A7_6,1,0,TC 7 1.52 m BC West,TC A7,Temperature
SC1Mod9,22,TC_A7_7,1,0,TC 7 1.83 m BC West,TC A7,Temperature
SC1Mod9,23,TC_A7_8,1,0,TC 7 2.13 m BC West,TC A7,Temperature
SC1Mod9,24,TC_A8_1,1,0,TC 8 0.03 m BC West,TC A8,Temperature
SC1Mod9,25,TC_A8_2,1,0,TC 8 0.30 m BC West,TC A8,Temperature
SC1Mod9,26,TC_A8_3,1,0,TC 8 0.61 m BC West,TC A8,Temperature
SC1Mod9,27,TC_A8_4,1,0,TC 8 0.91 m BC West,TC A8,Temperature
SC1Mod9,28,TC_A8_5,1,0,TC 8 1.22 m BC West,TC A8,Temperature
SC1Mod9,29,TC_A8_6,1,0,TC 8 1.52 m BC West,TC A8,Temperature
SC1Mod9,30,TC_A8_7,1,0,TC 8 1.83 m BC West,TC A8,Temperature
SC1Mod9,31,TC_A8_8,1,0,TC 8 2.13 m BC West,TC A8,Temperature
SC1Mod10,0,BDP_A5_1,99.52,-248.8,BDP 5 0.08 m BS West,BDP A5,Velocity
SC1Mod10,1,BDP_A5_2,99.52,-248.8,BDP 5 0.34 m BS West,BDP A5,Velocity
SC1Mod10,2,BDP_A5_3,99.52,-248.8,BDP 5 0.61 m BS West,BDP A5,Velocity
SC1Mod10,3,BDP_A5_4,99.52,-248.8,BDP 5 0.88 m BS West,BDP A5,Velocity
SC1Mod10,4,BDP_A5_5,99.52,-248.8,BDP 5 1.15 m BS West,BDP A5,Velocity
SC1Mod10,5,BDP_A5_6,99.52,-248.8,BDP 5 1.42 m BS West,BDP A5,Velocity
SC1Mod10,6,BDP_A5_7,99.52,-248.8,BDP 5 1.68 m BS West,BDP A5,Velocity
SC1Mod10,7,BDP_A5_8,99.52,-248.8,BDP 5 1.95 m BS West,BDP A5,Velocity
SC1Mod10,8,BDP_A6_1,99.52,-248.8,BDP 6 0.08 m BS West,BDP A6,Velocity
SC1Mod10,9,BDP_A6_2,99.52,-248.8,BDP 6 0.34 m BS West,BDP A6,Velocity
SC1Mod10,10,BDP_A6_3,99.52,-248.8,BDP 6 0.61 m BS West,BDP A6,Velocity
SC1Mod10,11,BDP_A6_4,99.52,-248.8,BDP 6 0.88 m BS West,BDP A6,Velocity
SC1Mod10,12,BDP_A6_5,99.52,-248.8,BDP 6 1.15 m BS West,BDP A6,Velocity
SC1Mod10,13,BDP_A6_6,99.52,-248.8,BDP 6 1.42 m BS West,BDP A6,Velocity
SC1Mod10,14,BDP_A6_7,99.52,-248.8,BDP 6 1.68 m BS West,BDP A6,Velocity
SC1Mod10,15,BDP_A6_8,99.52,-248.8,BDP 6 1.95 m BS West,BDP A6,Velocity
SC1Mod10,16,BDP_A10_1,99.52,-248.8,BDP 10 0.08 m BS West,BDP A10,Velocity
SC1Mod10,17,BDP_A10_2,99.52,-248.8,BDP 10 0.34 m BS West,BDP A10,Velocity
SC1Mod10,18,BDP_A10_3,99.52,-248.8,BDP 10 0.61 m BS West,BDP A10,Velocity
SC1Mod10,19,BDP_A10_4,99.52,-248.8,BDP 10 0.88 m BS West,BDP A10,Velocity
SC1Mod10,20,BDP_A10_5,99.52,-248.8,BDP 10 1.15 m BS West,BDP A10,Velocity
SC1Mod10,21,BDP_A10_6,99.52,-248.8,BDP 10 1.42 m BS West,BDP A10,Velocity
SC1Mod10,22,BDP_A10_7,99.52,-248.8,BDP 10 1.68 m BS West,BDP A10,Velocity
SC1Mod10,23,BDP_A10_8,99.52,-248.8,BDP 10 1.95 m BS West,BDP A10,Velocity
SC1Mod10,24,BDP_A11_1,99.52,-248.8,BDP 11 0.08 m BS West,BDP A11,Velocity
SC1Mod10,25,BDP_A11_2,99.52,-248.8,BDP 11 0.34 m BS West,BDP A11,Velocity
SC1Mod10,26,BDP_A11_3,99.52,-248.8,BDP 11 0.61 m BS West,BDP A11,Velocity
SC1Mod10,27,BDP_A11_4,99.52,-248.8,BDP 11 0.88 m BS West,BDP A11,Velocity
SC1Mod10,28,BDP_A11_5,99.52,-248.8,BDP 11 1.15 m BS West,BDP A11,Velocity
SC1Mod10,29,BDP_A11_6,99.52,-248.8,BDP 11 1.42 m BS West,BDP A11,Velocity
SC1Mod10,30,BDP_A11_7,99.52,-248.8,BDP 11 1.68 m BS West,BDP A11,Velocity
SC1Mod10,31,BDP_A11_8,99.52,-248.8,BDP 11 1.95 m BS West,BDP A11,Velocity
SC1Mod11,0,BDP_A13_1,99.52,-248.8,BDP 13 0.08 m BS West,BDP A13,Velocity
SC1Mod11,1,BDP_A13_2,99.52,-248.8,BDP 13 0.34 m BS West,BDP A13,Velocity
SC1Mod11,2,BDP_A13_3,99.52,-248.8,BDP 13 0.61 m BS West,BDP A13,Velocity
SC1Mod11,3,BDP_A13_4,99.52,-248.8,BDP 13 0.88 m BS West,BDP A13,Velocity
SC1Mod11,4,BDP_A13_5,99.52,-248.8,BDP 13 1.15 m BS West,BDP A13,Velocity
SC1Mod11,5,BDP_A13_6,99.52,-248.8,BDP 13 1.42 m BS West,BDP A13,Velocity
SC1Mod11,6,BDP_A13_7,99.52,-248.8,BDP 13 1.68 m BS West,BDP A13,Velocity
SC1Mod11,7,BDP_A13_8,99.52,-248.8,BDP 13 1.95 m BS West,BDP A13,Velocity
SC1Mod11,8,BDP_A14_1,99.52,-248.8,BDP 14 0.08 m BS West,BDP A14,Velocity
SC1Mod11,9,BDP_A14_2,99.52,-248.8,BDP 14 0.34 m BS West,BDP A14,Velocity
SC1Mod11,10,BDP_A14_3,99.52,-248.8,BDP 14 0.61 m BS West,BDP A14,Velocity
SC1Mod11,11,BDP_A14_4,99.52,-248.8,BDP 14 0.88 m BS West,BDP A14,Velocity
SC1Mod11,12,BDP_A14_5,99.52,-248.8,BDP 14 1.15 m BS West,BDP A14,Velocity
