Time,PPV_NOOYC,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX,FIRE_FA2S1C1NCX1_1,FIRE_FA2S1C1NCX1_2,FIRE_FA2S1C1NCX1_3,Test_1_East_062514,Test_2_East_062514,Test_3_East_062514,Test_4_East_062514,Test_5_East_062614,Test_6_East_062614,Test_7_East_062714,Test_8_East_062714,Test_9_East_062714,Test_10_East_062714,Test_11_East_062714,Test_12_East_062914,Test_13_East_062914,Test_14_West_063014,Test_15_West_063014,Test_16_West_063014,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,Test_20_West_063014,Test_21_East_070114,Test_22_West_070214,Test_23_West_070214,Test_24_West_070214,Test_25_West_070214,Test_26_East_070714,Test_27_West_070814,Test_28_East_070814,Test_29_West_071014,Test_30_West_51415,Test_31_West_51615,Test_32_West_51815,Test_33_West_52015,Test_34_West_52115,Test_35_West_52115,Test_36_West_60915,Test_37_West_61015,Test_38_West_61315,Test_39_West_61315,Test_40_West_61415,Test_41_West_61415,Test_42_West_61615,Test_43_West_61715,Test_44_West_61815,Test_45_West_70915,Test_46_West_71015,Test_47_West_71515,Test_48_West_71515,Test_49_East_71515,Test_50_West_71615,Test_51_East_71615,Test_52_East_80215,Test_53_East_80215,Test_54_East_80315,Test_55_East_80315,Test_56_West_80615,Test_57_West_80615,Test_58_East_80615
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A side window opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open A side window,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open A side door,,
450,,Rear door opened,Narrow fog at Room C ceiling,,Hose rotated left,Fixed straight stream at Door AB,Fixed wide fog at Room A,,,,,,,,,,,,,,,BC door opened,,,,,,,,,,,,,,,,,,,,,,Open C side basement right,,,,,,,,,,,,,,,,,Open A side door,,,,,,,,
452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water off interior,,,,,,,,,,,,,,
455,,,,"Hose fixed, rear door closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,Fan at 2200 rpm,,,,,,,,,,,,,,,,,,Roof vent opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open C side doors,,,,,,,,,,
473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Side A door open,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water on fire,,,,,,,,,,,,,,,,,,
480,Electric PPV fan 2200 rpm,Rear door closed,Rear door opened,,Hose fixed,Fixed narrow fog at Door AB,Wide fog rotated right at Room A,,,Ignition,,,,,,,Fan off,,,,,,BC door opened,,,"Monitor on, straight stream, far target",1st floor BC door opened,1st floor BC door opened,1st floor BC and stairwell doors closed,1st floor BC and stairwell doors closed,,Ignition,Gas on,,,1st floor BC door opened,,,,,,,,,,,,,,,,,,,,,,,,,Open A side window,,Fan on at 100%,Close BC door,,,Control A side door,,
482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basement BC door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water on fire,,,,,,,,,,,,,,,
